acs_col,var_name,universe_col,pretty_name_count,pretty_name_proportion,acs_variable_name_to_interpolate_by_sum_boolean_mapping
B03002_004,nh_black_alone,B03002_001,Non-Hispanic black residents,Percent of non-Hispanic Black residents (proportion of all residents),TRUE
B05001_002,citizen_born_in_states,,Citizens born in US (count),,TRUE
B05001_003,citizen_born_in_territories,,Citizens born in US Territories (count),,TRUE
B05001_004,citizen_born_abroad,,Citizens born abroad (count),,TRUE
B05001_005,citizen_naturalized,,Naturalized citizens (count),,TRUE
B05001_006,non_citizen,,Non-citizens (count),,TRUE
B05012_002,native,,Native born residents (count),,TRUE
B05012_003,foreign_born,,Foreign born residents (count),,TRUE
B06008_001,pop_15_and_over,,Residents aged 15 and older (count),,TRUE
B06008_002,never_married,B06008_001,Never-married residents aged 15 and older (count),Never-married residents aged 15 and older (proportion of residents aged 15 and older),TRUE
B06008_003,married_not_separated,B06008_001,Married not separated residents (count),Married not separated residents (proportion of residents aged 15 and older),TRUE
B06008_004,divorced,B06008_001,Divorced residents (count),Divorced residents (proportion of residents aged 15 and older),TRUE
B06008_005,separated,B06008_001,Married separated residents (count),Married separated residents (proportion of residents aged 15 and older),TRUE
B06008_006,widowed,B06008_001,Windowed residents (count),Windowed residents (proportion of residents aged 15 and older),TRUE
B06008_007,born_in_state,B06008_001,Residents born in current state (count),Residents born in current state (proportion of residents aged 15 and older),TRUE
B06008_013,born_in_other_state,B06008_001,Residents born in another state (count),Residents born in another state (proportion of residents aged 15 and older),TRUE
B06009_001,pop_25_above,,Population 25 years and older (count),,TRUE
B06009_002,no_hsdiploma,B06009_001,Residents (25+) with less than hs education (count),Proportion of residents (ages 25+) with less than a high school diploma (proportion of all residents 25 years and older),TRUE
B06012_001,total_pop_poverty_level_deter,,Total population for whom poverty level is determined (count),,TRUE
B06012_002,pop_below_100_poverty_threshold,B06012_001,Population below 100% of the poverty level (count),Percent of population below 100% of the poverty level (proportion of total population for whome poverty status is determined),TRUE
B06012_003,pop_100_to_149_poverty_threshold,B06012_001,Population at 100 to 149 percent of the poverty level (count,Percent of population at 100 to 149 percent of the poverty level (proportion of total populatoin for whom poverty status is determined),TRUE
B07201_002,same_house_last_year,,People living in the same house they lived last year (count),,TRUE
B07201_004,moved_within_msa,,People moved within the same metropolitan statistical area (count),,TRUE
B07201_014,moved_from_abroad,,People moved from abroad (count),,TRUE
B08006_001,workers_over_15,,Workers aged 15 and older (count),,TRUE
B08006_003,drive_alone_commuters,B08006_001,Drive alone commuters (count),Drive alone commuters (proportion of employed residents aged 15 and older),TRUE
B08006_004,carpool_commuters,B08006_001,Carpool commuters (count),Carpool commuters (proportion of employed residents aged 15 and older),TRUE
B08006_008,transit_commuters,B08006_001,Transit commuters (count),Transit commuters (proportion of employed residents aged 15 and older),TRUE
B08006_014,bike_commuters,B08006_001,Bicycle commuters (count),Bicycle commuters (proportion of employed residents aged 15 and older),TRUE
B08006_015,walk_commuters,B08006_001,Walking commuters (count),Walking commuters (proportion of employed residents aged 15 and older),TRUE
B08006_016,other_commuters,B08006_001,Other mode commuters (count),Other mode commuters (proportion of employed residents aged 15 and older),TRUE
B08006_017,work_at_home,B08006_001,Work at home (count),Work at home (proportion of employed residents aged 15 and older),TRUE
B08302_002,start_commute_before_5am,B08006_001,Start commute before 5 am (count),Start commute before 5 am (proportion of employed residents aged 15 and older),TRUE
B08302_003,commute_start_5_530,B08006_001,Start commute between 5:00 and 5:30 am (count),Start commute between 5:00 and 5:30 am (proportion of employed residents aged 15 and older),TRUE
B08302_004,commute_start_530_6,B08006_001,Start commute between 5:30 and 6:00 am (count),Start commute between 5:30 and 6:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_005,commute_start_6_630,B08006_001,Start commute between 6:00 and 6:30 am (count),Start commute between 6:00 and 6:30 am (proportion of employed residents aged 15 and older),TRUE
B08302_006,commute_start_630_7,B08006_001,Start commute between 6:30 and 7:00 am (count),Start commute between 6:30 and 7:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_007,commute_start_7_730,B08006_001,Start commute between 7:00 and 7:30 am (count),Start commute between 7:00 and 7:30 am (proportion of employed residents aged 15 and older),TRUE
B08302_008,commute_start_730_8,B08006_001,Start commute between 7:30 and 8:00 am (count),Start commute between 7:30 and 8:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_009,commute_start_8_830,B08006_001,Start commute between 8:00 and 8:30 am (count),Start commute between 8:00 and 8:30 am (proportion of employed residents aged 15 and older),TRUE
B08302_010,commute_start_830_9,B08006_001,Start commute between 8:30 and 9:00 am (count),Start commute between 8:30 and 9:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_011,commute_start_9_10,B08006_001,Start commute between 9:00 and 10:00 am (count),Start commute between 9:00 and 10:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_012,commute_start_10_11,B08006_001,Start commute between 10:00 and 11:00 am (count),Start commute between 10:00 and 11:00 am (proportion of employed residents aged 15 and older),TRUE
B08302_013,commute_start_11_12,B08006_001,Start commute between 11:00 am and 12:00 pm (count),Start commute between 11:00 am and 12:00 pm (proportion of employed residents aged 15 and older),TRUE
B08302_014,commute_start_12_4pm,B08006_001,Start commute between 12:00 and 4:00 pm (count),Start commute between 12:00 and 4:00 pm (proportion of employed residents aged 15 and older),TRUE
B08302_015,commute_start_4pm_on,B08006_001,Start commute between after 4:00 pm (count),Start commute between after 4:00 pm (proportion of employed residents aged 15 and older),TRUE
B11003_001,total_families,,Total families (count),,TRUE
B11003_009,male_head_alone,B11003_001,"Male householder, no spouse or partner","Percent of male househoders, no spouse or partner (proportion of all families)",TRUE
B11003_010,male_head_kids,B11003_001,"Male householder, no spouse or partner,  with own kids (count)",Percent of males living alone with own kids under 18 (Proportion of all households),TRUE
B11003_015,female_head_alone,B11003_001,"Female houseoholder, no spouse or partner","Percent of female househoders, no spouse or partner (proportion of all families)",TRUE
B11003_016,female_head_kids,B11003_001,"Female householders, no spouse or partner, with own children under 18 (count)","Percent of female householders, no spouse or partner, with own children under 18 (percent of households)",TRUE
B11004_001,total_families,,Total families (count),,TRUE
B11004_010,male_head_relatedkids,B11004_001,Male householder living alone with related kids under 18 (count),Percent of male householders with related kids under 18 (proportion of all families),TRUE
B11004_016,female_head_relatedkids,B11004_001,Female householder living alone with related kids under 18 (count),Percent of female householders with related kids under 18 (proportion of all families),TRUE
B11010_001,total_nonfamily_households,,Total nonfamily households (count),,TRUE
B11010_003,male_householder_alone,B11010_001,"Male householder, living alone",,TRUE
B11010_010,female_householder_alone,B11010_001,"Female householder, living alone (count)",,TRUE
B11011_001,total_households,,Total households (count),,TRUE
B11012_001,total_households,,Total households (count),,TRUE
B11012_009,living_alone_female,B11012_001,"Female householder, no spouse or partner (count)",Percent of female householders with no spouse or partner (proportin of all households),TRUE
B11012_010,female_head_kids,B11012_001,"Female householders, no spouse or partner, with own children under 18 (count)","Percent of female householders, no spouse or partner, with own children under 18 (percent of households)",TRUE
B11012_014,living_alone_male,B11012_001,Male householder living alone (count),Percent of males living alone (Proportion of all households),TRUE
B11012_015,male_head_kids,B11012_001,"Male householder, no spouse or partner, with kids under 18 years (count)","Percent of male householder, no spouse or partner, with kids under 18 years (proportion of all households)",TRUE
B15002_002,male_pop_25_and_over,,Male Residents aged 25 and older (count),,TRUE
B15002_011,male_high_school_grad,B15002_002,Male residents aged 25 and older who graduated from high school (count),Male residents aged 25 and older who graduated from high school (proportion of male residents aged 25 and older),TRUE
B15002_015,male_bachelors_degree,B15002_002,Male residents aged 25 and older with a bachelor's degree (count),Male residents aged 25 and older with a bachelor's degree (proportion of male residents aged 25 and older),TRUE
B15002_019,female_pop_25_and_over,,Male Residents aged 25 and older (count),,TRUE
B15002_028,female_high_school_grad,B15002_019,Male residents aged 25 and older who graduated from high school (count),Male residents aged 25 and older who graduated from high school (proportion of male residents aged 25 and older),TRUE
B15002_032,female_bachelors_degree,B15002_019,Male residents aged 25 and older with a bachelor's degree (count),Male residents aged 25 and older with a bachelor's degree (proportion of male residents aged 25 and older),TRUE
B15003_001,pop_25_and_over,,Residents aged 25 and older (count),,TRUE
B15003_002,no_education,B15003_001,Residents with no education (count),Residents with no education (proportion of residents aged 25 and older),TRUE
B15003_003,pre_school,B15003_001,Residents with pre-school education (count),Residents with pre-school education (proportion of residents aged 25 and older),TRUE
B15003_004,kindergarten,B15003_001,Residents with kingdergarten education (count),Residents with kingdergarten education (proportion of residents aged 25 and older),TRUE
B15003_005,first_grade,B15003_001,Residents with first grade education (count),Residents with first grade education (proportion of residents aged 25 and older),TRUE
B15003_006,second_grade,B15003_001,Residents with second grade education (count),Residents with second grade education (proportion of residents aged 25 and older),TRUE
B15003_007,third_grade,B15003_001,Residents with third grade education (count),Residents with third grade education (proportion of residents aged 25 and older),TRUE
B15003_008,fourth_grade,B15003_001,Residents with fourth grade education (count),Residents with fourth grade education (proportion of residents aged 25 and older),TRUE
B15003_009,fifth_grade,B15003_001,Residents with fifth grade education (count),Residents with fifth grade education (proportion of residents aged 25 and older),TRUE
B15003_010,sixth_grade,B15003_001,Residents with sixth grade education (count),Residents with sixth grade education (proportion of residents aged 25 and older),TRUE
B15003_011,seventh_grade,B15003_001,Residents with seventh grade education (count),Residents with seventh grade education (proportion of residents aged 25 and older),TRUE
B15003_012,eighth_grade,B15003_001,Residents with eighth grade education (count),Residents with eighth grade education (proportion of residents aged 25 and older),TRUE
B15003_013,ninth_grade,B15003_001,Residents with ninth grade education (count),Residents with ninth grade education (proportion of residents aged 25 and older),TRUE
B15003_014,tenth_grade,B15003_001,Residents with tenth grade education (count),Residents with tenth grade education (proportion of residents aged 25 and older),TRUE
B15003_015,eleventh_grade,B15003_001,Residents with eleventh grade education (count),Residents with eleventh grade education (proportion of residents aged 25 and older),TRUE
B15003_016,twelfth_grade_no_diploma,B15003_001,Residents with twelfth grade education (count),Residents with twelfth grade education (proportion of residents aged 25 and older),TRUE
B15003_017,high_school_grad,B15003_001,Residents with high school graduation education (count),Residents with high school graduation education (proportion of residents aged 25 and older),TRUE
B15003_018,ged_or_alt_diploma,B15003_001,Residents with GED or Alt diploma (count),Residents with GED or Alt diploma (proportion of residents aged 25 and older),TRUE
B15003_019,some_college_less_than_1_year,B15003_001,Residents with some college education of less than 1 year (count),Residents with some college education of less than 1 year (proportion of residents aged 25 and older),TRUE
B15003_020,some_college_1_year_or_more,B15003_001,Residents with some college education of greater or equal to 1 year (count),Residents with some college education of greater or equal to 1 year (proportion of residents aged 25 and older),TRUE
B15003_021,associates_degree,B15003_001,Residents with associates degrees (count),Residents with associates degrees (proportion of residents aged 25 and older),TRUE
B15003_022,bachelors_degree,B15003_001,Residents with bachelors degrees (count),Residents with bachelors degrees (proportion of residents aged 25 and older),TRUE
B15003_023,masters_degree,B15003_001,Residents with masters degrees (count),Residents with masters degrees (proportion of residents aged 25 and older),TRUE
B15003_024,professional_degree,B15003_001,Residents with professional degrees (count),Residents with professional degrees (proportion of residents aged 25 and older),TRUE
B15003_025,doctoral_degree,B15003_001,Residents with doctoral degrees (count),Residents with doctoral degrees (proportion of residents aged 25 and older),TRUE
B16005_001,total_ages_5_up,,Population 5 years and over,,TRUE
B16005_004,native_born_spanish,,Native born persons (ages 5+) who speak Spanish (count),,TRUE
B16005_007,ntv_sp_lmt_eng_notwell,B16005_004,Native-born persons (age 5+) who speak Spanish and who spead English 'not well' (count),Percent of native-born persons (age 5+) who speak Spanish and speak English 'not well' (proportion of all native-born persons (ages 5) who speak Spanish),TRUE
B16005_008,ntv_sp_lmt_eng_notatall,B16005_004,Native-born persons (age 5+) who speak Spanish and who speak English 'not at all' (count),Percent of native-born persons (age 5+) who speak Spanish and speak English 'not at all' (proportion of all native-born persons (ages 5+) who speak Spanish),TRUE
B16005_009,native_born_indo_europe,,Native born persons (ages 5+) who speak Indo-European languages (count),,TRUE
B16005_012,ntv_ie_lmt_eng_notwell,B16005_009,Native-born persons (age 5+) who speak Indo-European languages and speak English not well (count),Percent of native born persons (age 5+) who speak Indo-European languages and speak English 'not well' (proportion of all persons (ages 5+) who speak Indo-European languages),TRUE
B16005_013,ntv_ie_lmt_eng_notatall,B16005_009,Native-born persons (age 5+) who speak Indo-European languages and speak English not at all (count),Percent of native born persons (age 5+) who speak Indo-European languages and speak English 'not at all' (proportion of all persons (ages 5+) who speak Indo-European languages),TRUE
B16005_014,native_born_asian_pi,,Native born persons (ages 5+) who speak Asian and Pacific Islander languages (count),,TRUE
B16005_017,ntv_api_lmt_en_notwell,B16005_014,Native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not well' (count),Percent of native born persons (age 5+) who speak Asian and Pacific Islander languages and speak English 'not well' (proportion of all native born persons (ages 5+) who speak Asian and Pacific Islander languages),TRUE
B16005_018,ntv_api_lmt_en_notatall,B16005_014,Native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (count),Percent of native-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (proportion of native-born persons (ages 5+) who speak Asian and Pacific Islander languages),TRUE
B16005_019,native_born_other,,Native born persons (ages 5+) who speak other languages (count),,TRUE
B16005_022,ntv_oth_lmt_en_notwell,B16005_019,Native-born persons (age 5+) who speak other languages and speak English 'not well' (count),"Percent , native-born persons (age 5+) who speak other languages and speak English 'not well' (proportion of native-born persons (ages 5+) who speak other languages)",TRUE
B16005_023,ntv_oth_lmt_en_notatall,B16005_019,Native-born persons (age 5+) who speak other languages and speak English 'not at all' (count),Percent of native-born persons (age 5+) who speak other languages and speak English 'not at all' (proportin of native-born persons (ages 5+) who speak other languages),TRUE
B16005_024,total_foreign_born,B16005_001,Total foreign born population ages 5+ (count),Percent of foreign born persons (proportion of all resdients ages 5 and older),TRUE
B16005_026,total_fb_spanish,B16005_024,Total foreign born population (ages 5+) who speak Spanish (count),Percent of foreign born persons (age 5+) who speak spanish (proportion of all foreign born population ages 5+),TRUE
B16005_029,fb_sp_lmt_eng_notwell,B16005_026,Foreign-born persons (age 5+) who speak Spanish and who spead English 'not well' (count),Percent of foreign-born persons (age 5+) who speak Spanish and who spead English 'not well' (proportion of foreign-born persons (ages 5+) who speak Spanish),TRUE
B16005_030,fb_sp_lmt_eng_notatall,B16005_026,Foreign-born persons (age 5+) who speak Spanish and who speak English 'not at all' (count),Percent of foreign-born persons (age 5+) who speak Spanish and who speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak Spanish),TRUE
B16005_031,total_tb_indo_europe,B16005_024,Total foreign born population (ages 5+) who speak Indo-Eropean languages (count),Percent of foreign born persons (age 5+) who speak Indo-Eropean languages (proportion of all foreign born population),TRUE
B16005_034,fb_ie_lmt_eng_notwell,B16005_031,Foreign-born persons (age 5+) who speak Indo-European languages and speak English not well (count),Percent of foreign-born persons (age 5+) who speak Indo-European languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak Indo-European languages),TRUE
B16005_035,fb_ie_lmt_eng_notatall,B16005_031,Foreign-born persons (age 5+) who speak Indo-European languages and speak English not at all (count),Percent of foreign-born persons (age 5+) who speak Indo-European languages and speak English 'not at all' (Proportion of foreign-born persons who speak Indo-European languages),TRUE
B16005_036,total_fb_asian_pi,B16005_024,Total foreign born population (ages 5+) who speak Asian and Pacific Island languages (count),Percent of total foreign born population (ages 5+) who speak Asian and Pacific Island languages (Proportio nof all foreign born population ages 5+),TRUE
B16005_039,fb_api_lmt_en_notwell,B16005_036,Foreign-born persons (age 5+) who spead Asian and Pacific Island languages and speak English 'not well' (count),Percent of foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak Asian and Pacific Islander languages),TRUE
B16005_040,fb_api_lmt_en_notatall,B16005_036,Foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (count),Percent of foreign-born persons (age 5+) who speak Asian and Pacific Island languages and speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak Asian and Pacific Islander languages),TRUE
B16005_041,total_fb_other,B16005_024,Total foreign born population (ages 5+) who speak other languages (count),Percent of total foreign born population (ages 5+) who speak other languages (Proportio nof all foreign born population ages 5+),TRUE
B16005_044,fb_oth_lmt_en_notwell,B16005_041,Foreign-born persons (age 5+) who speak other languages and speak English 'not well' (count),Percent of foreign-born persons (age 5+) who speak other languages and speak English 'not well' (proportion of foreign-born persons (ages 5+) who speak other languages),TRUE
B16005_045,fb_oth_lmt_en_notatall,B16005_041,Foreign-born persons (age 5+) who speak other languages and speak English 'not at all' (count),Percent of foreign-born persons (age 5+) who speak other languages and speak English 'not at all' (proportion of foreign-born persons (ages 5+) who speak other languages),TRUE
B17001_001,total_poverty_determined,,"Total population, poverty status is determined (count)",,TRUE
B17001_002,below_pov,B17001_001,Residents with income in the past 12 months below poverty level (Count),Percent of residents with income in the past 12 months below poverty level (Proportion of all Residents for whom poverty status is determined),TRUE
B17012_001,households,,"Total number of households, poverty status determined",,TRUE
B17012_002,households_in_poverty,B17012_001,Households in poverty (count),Percent of households in poverty (proportion of all households),TRUE
B17023_001,total_pop_poverty,,"Total population of families, poverty status is determined (count)",,TRUE
B17023_002,fam_below_poverty,B17023_001,Families below the povery level (count),Percent of families below the povery level (proportion of all families),TRUE
B18101_001,civilian_pop,,Total civilian uninstitutionalized population (count),,TRUE
B18101_002,non_inst_males,,Civilian uninstitutionalized males (count),Percent of civilian uninstutionalized males (proportion of all civilian uninstitutionalized population),TRUE
B18101_003,non_inst_males_under_5,B18101_002,Civilian uninstitutionalized males ages under 5 (count),Percent of noninstitutionalized males under 5 (proportion of all noninstitutionalized males),TRUE
B18101_004,males_under5_disability,B18101_003,Males under 5 with a disability (count),Percent of males under 5 with a disability (proportion of all males under 5),TRUE
B18101_006,non_inst_males_5_to_17,B18101_002,Civilian uninstitutionalized males ages 5 to 17 (count),Percent of civilian noninstitutionalized males ages 5 to 17 (proportion of all noninstitutionalized males),TRUE
B18101_007,males_5_17_disability,B18101_006,Males 5-17 with a disability (count),Percent of males 5-17 with a disability (proportion of all males 5-17),TRUE
B18101_009,non_inst_males_18_to_34,B18101_002,Civilian uninstitutionalized males ages 18 to 34 (count),Percent of civilian noninstitutionalized males ages 18 to 34 (proportion of all noninstitutionalized males),TRUE
B18101_010,males_18_34_disability,B18101_009,Males 18-34 with a disability (count),Percent of males 18-34 with a disability (proportion of all males 18-34),TRUE
B18101_012,non_inst_males_35_to_64,B18101_002,Civilian uninstitutionalized males ages 35 to 64 (count),Percent of civilian noninstitutionalized males ages 35 to 64 (proportion of all noninstitutionalized males),TRUE
B18101_013,males_35_64_disability,B18101_012,Males 35-64 with a disability (count),Percent of males 35-64 with a disability (proportion of all males 35-64),TRUE
B18101_015,non_inst_males_65_to_74,B18101_002,Civilian uninstitutionalized males ages 65 to 74 (count),Percent of civilian noninstitutionalized males ages 65 to 74 (proportion of all noninstitutionalized males),TRUE
B18101_016,males_65_74_disability,B18101_015,Males 65-74 with a disability (count),Percent of males 65-74 with a disability (proportion of all males 65-74),TRUE
B18101_018,non_inst_males_75_and_older,B18101_002,Civilian uninstitutionalized males ages 75 and older (count),Percent of civilian noninstitutionalized males ages 75 and older (proportion of all noninstitutionalized males),TRUE
B18101_019,males_75_plus_disability,B18101_018,Males 75 and older with a disability (count),Percent of males 75 and older with a disability (proportion of all males 75 and older),TRUE
B18101_021,females_pop,B18101_001,Civilian uninstitutionalized females (count),Percent of civilian uninstitutionalized females (proportion of all civilian unstinstitutionalized persons),TRUE
B18101_022,noninst_females_under_5,B18101_021,Total civilian uninstitutionalized female population under 5 years (count),Percent of civilian uninstitutionalized females under 5 (proportion of all civilian uninstutionalized persons),TRUE
B18101_023,females_under5_disability,B18101_022,Females under 5 with a disability (count),Percent of females under 5 with a disability (Proportion of all females under 5),TRUE
B18101_025,females_5_to_17,B18101_021,Total civilian uninstitutionalized female population ages 5 to 17 (count),Percent of total civilian uninstitutionalized female population ages 5 to 17 (proportion of all uninstitutionalized civilian females),TRUE
B18101_026,females_5_17_disability,B18101_025,Females 5-17 with a disability (count),Percent of females 5-17 with a disability (proportion of all uninstitutionalized civilian females 5 to 17),TRUE
B18101_028,females_18_to_34,B18101_021,Total civilian uninstitutionalized female population ages 18 to 34 (count),Percent of total civilian uninstitutionalized female population ages 18 to 34 (proportion of total civilian uninstitutionalized population),TRUE
B18101_029,females_18_34_disability,B18101_028,Females 18-34 with a disability (count),Percent of females 18-34 with a disability (proportion of all females 18 to 34),TRUE
B18101_031,females_35_to_64,B18101_021,Total civilian uninstitutionalized female population ages 35 to 64 (count),Percent of total civilian uninstitutionalized female population ages 35 to 64 (proportion of total civilian uninstitutionalized population),TRUE
B18101_032,females_35_64_disability,B18101_031,Females 35-64 with a disability (count),Percent of females 35-64 with a disability (proportion of all females 35 to 64),TRUE
B18101_034,noninst_females_65_to_74,B18101_021,Total civilian uninstitutionalized female population ages 65 to 74 (count),,TRUE
B18101_035,females_65_74_disability,B18101_034,Females 65-74 with a disability (count),Percent of females 65-74 with a disability (proportion of all females 65-74),TRUE
B18101_037,females_75_older,B18101_021,Total civilian uninstitutionalized female population ages 75 and older (count),,TRUE
